Order_ID,Product_Category,Original_Price,Discount_Percent,Quantity_Sold,Customer_Type,Region,Discount_Amount,Final_Price,Revenue
107,Home,332.84,5,8,Returning,West,16.64,316.2,2529.6
108,Beauty,1174.55,25,4,Returning,North,293.64,880.91,3523.64
109,Home,3560.54,5,7,Returning,East,178.03,3382.51,23677.57
110,Home,3934.99,15,7,New,East,590.25,3344.74,23413.18
111,Electronics,2331.06,0,9,New,North,0.0,2331.06,20979.54
112,Home,3520.56,15,8,New,West,528.08,2992.48,23939.84
113,Sports,2000.97,30,8,New,West,600.29,1400.68,11205.44
114,Home,883.57,40,7,New,North,353.43,530.14,3710.98
115,Electronics,2050.93,5,5,New,East,102.55,1948.38,9741.9
116,Sports,2941.84,10,9,New,West,294.18,2647.66,23828.94
117,Clothing,4745.46,0,7,Returning,North,0.0,4745.46,33218.22
118,Home,436.88,30,3,Returning,North,131.06,305.82,917.46
119,Electronics,2586.23,15,6,New,North,387.93,2198.3,13189.8
120,Clothing,1711.71,40,3,Returning,West,684.68,1027.03,3081.09
121,Clothing,2590.73,20,6,New,South,518.15,2072.58,12435.48
122,Beauty,217.48,50,8,New,South,108.74,108.74,869.92
123,Sports,1633.82,25,9,New,South,408.46,1225.36,11028.24
124,Home,4117.35,5,2,Returning,South,205.87,3911.48,7822.96
125,Electronics,2814.31,0,6,New,South,0.0,2814.31,16885.86
126,Beauty,2307.85,0,3,Returning,East,0.0,2307.85,6923.55
127,Sports,1499.07,50,7,New,North,749.54,749.53,5246.71
128,Beauty,1560.41,0,4,Returning,South,0.0,1560.41,6241.64
129,Sports,1977.2,10,5,New,West,197.72,1779.48,8897.4
130,Sports,4194.3,5,6,Returning,North,209.72,3984.58,23907.48
131,Home,4839.34,15,8,New,West,725.9,4113.44,32907.52
132,Sports,2249.41,0,2,Returning,West,0.0,2249.41,4498.82
133,Beauty,2027.43,0,4,Returning,West,0.0,2027.43,8109.72
134,Sports,4248.1,15,4,Returning,East,637.22,3610.88,14443.52
135,Home,2191.84,15,6,New,West,328.78,1863.06,11178.36
136,Home,2804.89,30,4,Returning,North,841.47,1963.42,7853.68
137,Beauty,1231.61,40,5,New,North,492.64,738.97,3694.85
138,Clothing,3743.16,40,5,New,East,1497.26,2245.9,11229.5
139,Clothing,2706.74,40,8,Returning,East,1082.7,1624.04,12992.32
140,Sports,4064.27,50,4,Returning,North,2032.14,2032.13,8128.52
141,Electronics,3925.59,0,6,Returning,North,0.0,3925.59,23553.54
142,Sports,1153.52,50,7,Returning,West,576.76,576.76,4037.32
143,Beauty,3606.61,40,8,New,West,1442.64,2163.97,17311.76
144,Beauty,4020.27,0,9,Returning,East,0.0,4020.27,36182.43
145,Beauty,1795.93,30,8,Returning,South,538.78,1257.15,10057.2
146,Beauty,945.78,50,4,New,West,472.89,472.89,1891.56
147,Beauty,112.9,15,4,Returning,West,16.93,95.97,383.88
148,Home,2309.43,50,5,New,South,1154.71,1154.72,5773.6
149,Clothing,1826.92,0,3,Returning,West,0.0,1826.92,5480.76
150,Beauty,2819.06,50,2,Returning,South,1409.53,1409.53,2819.06
151,Electronics,1021.4,25,2,Returning,South,255.35,766.05,1532.1
152,Electronics,4312.36,15,9,Returning,North,646.85,3665.51,32989.59
153,Electronics,1363.0,20,8,New,South,272.6,1090.4,8723.2
154,Electronics,1209.51,30,6,Returning,South,362.85,846.66,5079.96
155,Home,2455.5,15,9,New,East,368.32,2087.18,18784.62
156,Electronics,2544.37,40,5,New,East,1017.75,1526.62,7633.1
157,Beauty,1153.92,10,1,Returning,East,115.39,1038.53,1038.53
158,Sports,1432.12,5,8,Returning,West,71.61,1360.51,10884.08
159,Electronics,931.56,0,3,Returning,East,0.0,931.56,2794.68
160,Home,3620.45,25,9,Returning,North,905.11,2715.34,24438.06
161,Home,3873.44,5,1,Returning,North,193.67,3679.77,3679.77
162,Electronics,2365.41,40,3,New,North,946.16,1419.25,4257.75
163,Sports,3599.03,15,1,New,West,539.85,3059.18,3059.18
164,Electronics,3706.08,50,1,Returning,South,1853.04,1853.04,1853.04
165,Home,777.55,15,6,Returning,South,116.63,660.92,3965.52
166,Clothing,4834.27,15,4,New,North,725.14,4109.13,16436.52
167,Beauty,4123.06,40,4,New,South,1649.22,2473.84,9895.36
168,Home,1101.97,40,5,Returning,South,440.79,661.18,3305.9
169,Electronics,1012.21,20,3,New,South,202.44,809.77,2429.31
170,Beauty,715.74,10,2,Returning,West,71.57,644.17,1288.34
171,Electronics,778.05,5,8,New,South,38.9,739.15,5913.2
172,Electronics,3765.99,50,7,Returning,South,1883.0,1882.99,13180.93
173,Clothing,2401.31,50,4,Returning,West,1200.66,1200.65,4802.6
174,Beauty,3936.38,20,2,Returning,East,787.28,3149.1,6298.2
175,Beauty,3756.65,40,9,New,North,1502.66,2253.99,20285.91
176,Clothing,3062.6,30,8,New,West,918.78,2143.82,17150.56
177,Home,3463.2,10,4,New,West,346.32,3116.88,12467.52
178,Electronics,189.94,20,5,New,North,37.99,151.95,759.75
179,Sports,1627.71,50,6,Returning,South,813.86,813.85,4883.1
180,Electronics,3225.33,15,4,Returning,South,483.8,2741.53,10966.12
181,Electronics,145.79,10,2,New,West,14.58,131.21,262.42
182,Home,261.59,30,5,New,East,78.48,183.11,915.55
183,Electronics,4274.25,40,1,Returning,North,1709.7,2564.55,2564.55
184,Clothing,3451.72,20,7,Returning,East,690.34,2761.38,19329.66
185,Clothing,1400.31,40,9,New,West,560.12,840.19,7561.71
186,Beauty,3471.02,20,3,New,East,694.2,2776.82,8330.46
187,Sports,3983.04,50,6,New,West,1991.52,1991.52,11949.12
188,Electronics,1603.29,30,9,Returning,North,480.99,1122.3,10100.7
189,Electronics,276.58,20,4,Returning,East,55.32,221.26,885.04
190,Home,4670.62,50,6,Returning,East,2335.31,2335.31,14011.86
191,Clothing,1791.38,20,3,Returning,North,358.28,1433.1,4299.3
192,Sports,621.76,40,9,New,North,248.7,373.06,3357.54
193,Beauty,2510.1,15,7,Returning,West,376.52,2133.58,14935.06
194,Clothing,3865.49,50,7,New,West,1932.74,1932.75,13529.25
195,Beauty,1186.07,25,4,Returning,West,296.52,889.55,3558.2
196,Home,1420.5,25,6,New,West,355.12,1065.38,6392.28
197,Home,1289.3,10,8,New,West,128.93,1160.37,9282.96
198,Electronics,4959.2,10,6,Returning,North,495.92,4463.28,26779.68
199,Sports,1067.28,15,6,New,East,160.09,907.19,5443.14
200,Beauty,2920.05,0,4,New,South,0.0,2920.05,11680.2
201,Clothing,4633.8,25,8,Returning,South,1158.45,3475.35,27802.8
202,Home,819.79,0,8,New,West,0.0,819.79,6558.32
203,Electronics,4857.19,15,9,Returning,South,728.58,4128.61,37157.49
204,Electronics,4742.64,30,6,Returning,East,1422.79,3319.85,19919.1
205,Beauty,4434.4,25,2,Returning,East,1108.6,3325.8,6651.6
206,Home,1151.33,40,4,New,West,460.53,690.8,2763.2
207,Sports,3206.87,15,4,New,South,481.03,2725.84,10903.36
208,Home,3828.37,50,8,Returning,North,1914.18,1914.19,15313.52
209,Beauty,4931.54,40,5,Returning,North,1972.62,2958.92,14794.6
210,Beauty,984.08,20,4,New,West,196.82,787.26,3149.04
211,Home,3853.53,25,8,Returning,East,963.38,2890.15,23121.2
212,Beauty,1760.13,20,3,Returning,South,352.03,1408.1,4224.3
213,Home,960.57,25,2,Returning,East,240.14,720.43,1440.86
214,Clothing,2164.75,0,4,New,West,0.0,2164.75,8659.0
215,Home,3989.8,15,1,New,East,598.47,3391.33,3391.33
216,Home,2377.76,50,1,New,South,1188.88,1188.88,1188.88
217,Beauty,2733.86,15,5,Returning,East,410.08,2323.78,11618.9
218,Beauty,4976.28,5,1,Returning,West,248.81,4727.47,4727.47
219,Electronics,2055.64,25,4,Returning,North,513.91,1541.73,6166.92
220,Electronics,3115.46,5,8,Returning,North,155.77,2959.69,23677.52
221,Clothing,1889.7,10,8,New,South,188.97,1700.73,13605.84
222,Electronics,2024.65,30,2,New,West,607.4,1417.25,2834.5
223,Home,3508.64,15,3,Returning,West,526.3,2982.34,8947.02
224,Beauty,4695.65,0,3,New,East,0.0,4695.65,14086.95
225,Electronics,2757.56,50,1,Returning,North,1378.78,1378.78,1378.78
226,Electronics,3865.16,25,3,Returning,South,966.29,2898.87,8696.61
227,Clothing,537.11,50,8,New,South,268.56,268.55,2148.4
228,Clothing,1134.67,10,6,New,South,113.47,1021.2,6127.2
229,Home,2560.45,20,5,Returning,East,512.09,2048.36,10241.8
230,Beauty,198.06,50,9,Returning,West,99.03,99.03,891.27
231,Clothing,1338.99,25,7,New,South,334.75,1004.24,7029.68
232,Electronics,2635.27,5,6,New,East,131.76,2503.51,15021.06
233,Beauty,173.31,0,5,New,South,0.0,173.31,866.55
234,Beauty,1396.28,50,5,Returning,East,698.14,698.14,3490.7
235,Electronics,2618.75,0,9,New,North,0.0,2618.75,23568.75
236,Clothing,2908.43,20,6,New,East,581.69,2326.74,13960.44
237,Electronics,4636.18,0,4,New,West,0.0,4636.18,18544.72
238,Beauty,3262.19,20,4,Returning,North,652.44,2609.75,10439.0
239,Sports,2132.21,20,4,New,North,426.44,1705.77,6823.08
240,Sports,4658.72,30,6,New,South,1397.62,3261.1,19566.6
241,Home,3945.93,30,1,New,North,1183.78,2762.15,2762.15
242,Electronics,1080.04,0,9,New,East,0.0,1080.04,9720.36
243,Electronics,741.13,50,2,Returning,West,370.56,370.57,741.14
244,Home,3411.48,0,2,New,North,0.0,3411.48,6822.96
245,Home,2843.43,20,5,Returning,West,568.69,2274.74,11373.7
246,Home,3969.4,30,4,New,East,1190.82,2778.58,11114.32
247,Beauty,3720.14,40,3,New,East,1488.06,2232.08,6696.24
248,Electronics,3163.54,5,5,New,West,158.18,3005.36,15026.8
249,Beauty,4933.27,0,7,New,East,0.0,4933.27,34532.89
250,Home,2714.59,15,2,New,West,407.19,2307.4,4614.8
251,Electronics,654.22,15,6,New,South,98.13,556.09,3336.54
252,Beauty,4158.54,25,4,Returning,East,1039.64,3118.9,12475.6
253,Beauty,1334.08,0,2,Returning,South,0.0,1334.08,2668.16
254,Home,3908.78,0,1,Returning,North,0.0,3908.78,3908.78
255,Electronics,4789.82,10,8,Returning,North,478.98,4310.84,34486.72
256,Home,3514.3,20,5,Returning,South,702.86,2811.44,14057.2
257,Electronics,3020.55,25,2,New,North,755.14,2265.41,4530.82
258,Sports,2355.89,20,8,New,North,471.18,1884.71,15077.68
259,Clothing,1885.61,20,3,New,North,377.12,1508.49,4525.47
260,Clothing,1829.72,50,7,New,North,914.86,914.86,6404.02
261,Clothing,3218.23,5,2,Returning,East,160.91,3057.32,6114.64
262,Home,3781.24,0,7,Returning,North,0.0,3781.24,26468.68
263,Sports,3424.73,25,4,New,East,856.18,2568.55,10274.2
264,Electronics,1072.21,50,1,New,West,536.1,536.11,536.11
265,Beauty,2520.54,30,5,Returning,North,756.16,1764.38,8821.9
266,Electronics,3979.04,40,4,Returning,West,1591.62,2387.42,9549.68
267,Beauty,2430.95,20,8,New,South,486.19,1944.76,15558.08
268,Electronics,2729.45,15,1,Returning,South,409.42,2320.03,2320.03
269,Sports,3878.57,25,2,New,East,969.64,2908.93,5817.86
270,Beauty,3340.2,10,5,New,South,334.02,3006.18,15030.9
271,Home,2105.79,0,2,Returning,East,0.0,2105.79,4211.58
272,Electronics,4487.52,15,1,Returning,West,673.13,3814.39,3814.39
273,Electronics,896.58,50,6,New,West,448.29,448.29,2689.74
274,Beauty,4978.03,15,4,Returning,North,746.7,4231.33,16925.32
275,Home,682.38,0,5,Returning,West,0.0,682.38,3411.9
276,Home,173.25,15,3,New,South,25.99,147.26,441.78
277,Sports,4461.09,30,6,New,East,1338.33,3122.76,18736.56
278,Home,1300.27,10,4,New,East,130.03,1170.24,4680.96
279,Home,3675.53,25,6,Returning,North,918.88,2756.65,16539.9
280,Home,4073.98,0,5,New,North,0.0,4073.98,20369.9
281,Clothing,4309.03,15,2,New,South,646.35,3662.68,7325.36
282,Sports,4958.81,10,4,New,East,495.88,4462.93,17851.72
283,Electronics,1540.79,0,2,Returning,North,0.0,1540.79,3081.58
284,Beauty,3580.19,10,5,Returning,West,358.02,3222.17,16110.85
285,Electronics,665.46,15,3,New,South,99.82,565.64,1696.92
286,Sports,2093.37,20,6,Returning,West,418.67,1674.7,10048.2
287,Beauty,4255.06,25,5,Returning,East,1063.77,3191.29,15956.45
288,Sports,1901.52,5,2,New,North,95.08,1806.44,3612.88
289,Home,2996.37,5,8,Returning,South,149.82,2846.55,22772.4
290,Beauty,2568.49,25,6,Returning,South,642.12,1926.37,11558.22
291,Home,3265.16,20,9,New,North,653.03,2612.13,23509.17
292,Electronics,4867.18,0,3,Returning,North,0.0,4867.18,14601.54
293,Electronics,373.1,10,4,Returning,East,37.31,335.79,1343.16
294,Beauty,2912.41,20,8,Returning,West,582.48,2329.93,18639.44
295,Beauty,4328.84,5,7,Returning,West,216.44,4112.4,28786.8
296,Sports,2458.78,0,8,Returning,West,0.0,2458.78,19670.24
297,Sports,484.78,50,9,New,East,242.39,242.39,2181.51
298,Home,2846.64,20,8,New,North,569.33,2277.31,18218.48
299,Beauty,1727.16,5,8,Returning,South,86.36,1640.8,13126.4
300,Electronics,859.21,15,6,New,West,128.88,730.33,4381.98
301,Sports,4260.27,10,2,New,North,426.03,3834.24,7668.48
302,Sports,2655.84,30,7,New,West,796.75,1859.09,13013.63
303,Electronics,4673.05,0,4,New,East,0.0,4673.05,18692.2
304,Sports,4049.48,15,3,Returning,East,607.42,3442.06,10326.18
305,Home,3495.56,30,4,Returning,North,1048.67,2446.89,9787.56
306,Beauty,124.62,20,4,Returning,East,24.92,99.7,398.8
307,Electronics,2196.33,15,3,New,South,329.45,1866.88,5600.64
308,Beauty,1067.68,15,9,Returning,East,160.15,907.53,8167.77
309,Sports,4562.91,5,3,New,South,228.15,4334.76,13004.28
310,Sports,955.46,40,2,Returning,West,382.18,573.28,1146.56
311,Electronics,1501.69,15,1,Returning,East,225.25,1276.44,1276.44
312,Home,2632.5,5,1,New,South,131.62,2500.88,2500.88
313,Clothing,1390.48,50,5,Returning,West,695.24,695.24,3476.2
314,Electronics,1128.34,30,5,New,West,338.5,789.84,3949.2
315,Clothing,3035.59,10,9,Returning,West,303.56,2732.03,24588.27
316,Clothing,535.75,30,4,New,West,160.72,375.03,1500.12
317,Home,385.02,0,5,New,North,0.0,385.02,1925.1
318,Clothing,1924.0,0,6,New,South,0.0,1924.0,11544.0
319,Clothing,3631.26,15,7,Returning,North,544.69,3086.57,21605.99
320,Home,2818.55,15,9,Returning,West,422.78,2395.77,21561.93
321,Clothing,2172.09,15,6,New,East,325.81,1846.28,11077.68
322,Clothing,2872.18,50,1,New,South,1436.09,1436.09,1436.09
323,Clothing,1890.71,25,8,New,South,472.68,1418.03,11344.24
324,Electronics,4687.12,10,2,Returning,West,468.71,4218.41,8436.82
325,Electronics,369.03,25,9,New,East,92.26,276.77,2490.93
326,Electronics,3399.62,5,7,Returning,East,169.98,3229.64,22607.48
327,Home,4467.29,5,7,Returning,South,223.36,4243.93,29707.51
328,Sports,4039.04,30,5,Returning,North,1211.71,2827.33,14136.65
329,Clothing,1001.8,10,8,New,East,100.18,901.62,7212.96
330,Clothing,1550.04,30,1,Returning,South,465.01,1085.03,1085.03
331,Home,3613.53,10,3,New,East,361.35,3252.18,9756.54
332,Clothing,512.93,5,9,New,West,25.65,487.28,4385.52
333,Electronics,4078.12,15,1,Returning,East,611.72,3466.4,3466.4
334,Sports,3622.64,15,8,Returning,North,543.4,3079.24,24633.92
335,Beauty,3675.07,10,6,New,North,367.51,3307.56,19845.36
336,Clothing,591.18,50,5,Returning,North,295.59,295.59,1477.95
337,Electronics,3617.03,25,6,Returning,South,904.26,2712.77,16276.62
338,Beauty,3431.11,20,5,Returning,East,686.22,2744.89,13724.45
339,Sports,4171.52,25,9,Returning,North,1042.88,3128.64,28157.76
340,Beauty,303.82,40,2,New,West,121.53,182.29,364.58
341,Electronics,213.24,20,6,Returning,West,42.65,170.59,1023.54
342,Beauty,1927.73,15,4,Returning,West,289.16,1638.57,6554.28
343,Home,829.06,30,3,Returning,South,248.72,580.34,1741.02
344,Beauty,2836.08,20,5,Returning,North,567.22,2268.86,11344.3
345,Clothing,4595.01,15,2,Returning,North,689.25,3905.76,7811.52
346,Clothing,2018.25,20,3,Returning,East,403.65,1614.6,4843.8
347,Home,4240.26,15,7,Returning,South,636.04,3604.22,25229.54
348,Electronics,101.18,40,1,Returning,West,40.47,60.71,60.71
349,Clothing,925.72,40,2,Returning,East,370.29,555.43,1110.86
350,Sports,249.08,0,3,New,West,0.0,249.08,747.24
351,Clothing,1707.92,10,7,New,West,170.79,1537.13,10759.91
352,Clothing,4550.13,15,4,Returning,North,682.52,3867.61,15470.44
353,Electronics,575.07,5,8,Returning,East,28.75,546.32,4370.56
354,Beauty,3071.41,20,8,New,South,614.28,2457.13,19657.04
355,Clothing,2312.33,40,1,New,West,924.93,1387.4,1387.4
356,Home,4698.49,5,5,Returning,North,234.92,4463.57,22317.85
357,Beauty,700.34,50,1,New,North,350.17,350.17,350.17
358,Sports,1138.94,30,7,New,West,341.68,797.26,5580.82
359,Electronics,244.76,25,4,New,North,61.19,183.57,734.28
360,Sports,2226.28,40,8,New,North,890.51,1335.77,10686.16
361,Beauty,1461.38,5,8,New,West,73.07,1388.31,11106.48
362,Beauty,4362.54,20,9,New,South,872.51,3490.03,31410.27
363,Beauty,3064.21,15,6,New,West,459.63,2604.58,15627.48
364,Sports,3109.04,40,7,New,East,1243.62,1865.42,13057.94
365,Beauty,2706.36,0,7,Returning,West,0.0,2706.36,18944.52
366,Sports,550.07,10,5,New,West,55.01,495.06,2475.3
367,Beauty,2280.59,40,7,Returning,South,912.24,1368.35,9578.45
368,Home,4997.58,20,9,New,West,999.52,3998.06,35982.54
369,Beauty,4192.62,15,4,Returning,West,628.89,3563.73,14254.92
370,Sports,4477.95,25,2,Returning,North,1119.49,3358.46,6716.92
371,Clothing,4133.81,20,8,Returning,West,826.76,3307.05,26456.4
372,Beauty,604.9,10,7,Returning,South,60.49,544.41,3810.87
373,Clothing,1214.5,20,6,New,North,242.9,971.6,5829.6
374,Home,115.3,15,7,Returning,West,17.3,98.0,686.0
375,Electronics,1587.2,0,3,New,North,0.0,1587.2,4761.6
376,Home,632.18,0,6,Returning,East,0.0,632.18,3793.08
377,Beauty,2416.69,30,7,New,West,725.01,1691.68,11841.76
378,Clothing,3417.92,15,7,Returning,West,512.69,2905.23,20336.61
379,Clothing,4385.08,0,5,New,North,0.0,4385.08,21925.4
380,Sports,3771.16,25,3,New,West,942.79,2828.37,8485.11
381,Clothing,4699.07,0,2,Returning,West,0.0,4699.07,9398.14
382,Sports,364.1,40,7,New,South,145.64,218.46,1529.22
383,Electronics,159.68,50,4,New,West,79.84,79.84,319.36
384,Beauty,3340.56,10,2,Returning,South,334.06,3006.5,6013.0
385,Sports,1517.83,30,8,New,East,455.35,1062.48,8499.84
386,Electronics,1342.15,20,2,Returning,East,268.43,1073.72,2147.44
387,Clothing,1721.35,10,6,Returning,North,172.14,1549.21,9295.26
388,Clothing,1422.0,20,4,New,North,284.4,1137.6,4550.4
389,Electronics,2606.04,30,9,Returning,North,781.81,1824.23,16418.07
390,Clothing,2256.73,30,5,Returning,North,677.02,1579.71,7898.55
391,Electronics,2610.9,50,4,New,West,1305.45,1305.45,5221.8
392,Sports,3396.3,40,8,New,South,1358.52,2037.78,16302.24
393,Sports,1996.94,15,3,New,North,299.54,1697.4,5092.2
394,Electronics,1331.41,20,9,Returning,East,266.28,1065.13,9586.17
395,Sports,914.38,20,8,Returning,West,182.88,731.5,5852.0
396,Sports,1812.42,5,8,New,South,90.62,1721.8,13774.4
397,Sports,3734.85,30,5,New,South,1120.46,2614.39,13071.95
398,Home,3807.85,30,1,New,North,1142.36,2665.49,2665.49
399,Beauty,3367.84,50,9,New,North,1683.92,1683.92,15155.28
400,Clothing,1246.74,50,2,New,South,623.37,623.37,1246.74
401,Home,2981.62,15,1,New,East,447.24,2534.38,2534.38
402,Sports,2896.38,20,6,New,North,579.28,2317.1,13902.6
403,Electronics,2472.9,30,1,New,South,741.87,1731.03,1731.03
404,Sports,2794.9,30,7,New,West,838.47,1956.43,13695.01
405,Beauty,2509.77,40,7,New,South,1003.91,1505.86,10541.02
406,Sports,2870.74,40,1,Returning,North,1148.3,1722.44,1722.44
